site,year,med,ci.lo,ci.hi,breadth,
BG,2006,0.046442035,0.002282974,0.434022683,0.431739709,0.095744681
BR,2006,0.233046957,0.032962028,0.732682658,0.69972063,0.256613757
CF,2006,0.055599346,0.006878593,0.32304717,0.316168577,0.053763441
CP3,2006,0.118560058,0.009455183,0.639218095,0.629762912,0.137614679
DEM,2006,0.10959521,0.007863385,0.657981599,0.650118214,0.172893136
DLW,2006,0.062842306,0.009803379,0.234305174,0.224501794,0.064220183
EC,2006,0.124476054,0.021547378,0.457292948,0.43574557,0.148849797
FR,2006,0.057905566,0.005648495,0.380429711,0.374781216,0.046120456
GCN,2006,0.033809544,0.002009964,0.410684625,0.40867466,0.043678161
KYE,2006,0.036720124,0.002978254,0.309924692,0.306946438,0.06360424
LCE,2006,0.121362945,0.021440054,0.358435842,0.336995788,0.133333333
LCW,2006,0.124913161,0.007759629,0.698829658,0.691070029,0.112980769
LO,2006,0.092255114,0.006088699,0.553787185,0.547698486,0.115384615
MC,2006,0.029646897,0.002375986,0.20693942,0.204563434,0.035294118
OKRE,2006,0.048289729,0.004814637,0.369521689,0.364707052,0.02739726
OKRW,2006,0.035796975,0.002877126,0.305387691,0.302510566,0.053125
OSR,2006,0.044951591,0.002799667,0.422257308,0.419457641,0.052980132
S22,2006,0.253014798,0.022750251,0.835059024,0.812308773,0.40776699
SM,2006,0.03576829,0.004999011,0.13249996,0.127500949,0.029126214
URS,2006,0.116429883,0.008296668,0.602983527,0.594686859,0.071682414
BG,2007,0.278490604,0.038041671,0.743479826,0.705438155,0.344827586
BR,2007,0.188750006,0.018456138,0.71969091,0.701234772,0.209189843
CF,2007,0.247417416,0.024282804,0.744989447,0.720706643,0.31147541
CP3,2007,0.086083635,0.006639051,0.614374292,0.60773524,0.156756757
DEM,2007,0.161157241,0.016020684,0.631011173,0.614990488,0.256410256
DLW,2007,0.148448285,0.019066641,0.526907045,0.507840405,0.181818182
EC,2007,0.402351619,0.106098458,0.801831989,0.695733531,0.453333333
FR,2007,0.288301402,0.026126325,0.872815069,0.846688744,0.270053476
GCN,2007,0.006584281,0.000457756,0.046384146,0.045926391,0
KYE,2007,0.113409,0.008323838,0.664608338,0.6562845,0.115942029
LCE,2007,0.422864969,0.063375823,0.795867138,0.732491314,0.273996149
LCW,2007,0.251873045,0.022554225,0.839027,0.816472775,0.233149931
LO,2007,0.215629775,0.028729278,0.676559079,0.6478298,0.225
MC,2007,0.114248044,0.008331072,0.585596204,0.577265132,0.333333333
OKRE,2007,0.19625979,0.02901015,0.580021593,0.551011443,0.209302326
OKRW,2007,0.026409933,0.002427416,0.194638513,0.192211097,0.042780749
OSR,2007,0.130551603,0.009825869,0.634846071,0.625020202,0.240740741
S22,2007,0.013715185,0.000846909,0.112310759,0.11146385,0.054864327
SM,2007,0.068289006,0.00474064,0.499281846,0.494541206,0.087719298
URS,2007,0.023913883,0.001782778,0.169635542,0.167852765,0.044776119
BG,2008,0.258996067,0.042205548,0.735913617,0.693708069,0.311804009
BR,2008,0.270486428,0.053426559,0.700680348,0.647253788,0.28435518
CF,2008,0.221272921,0.029999846,0.738933192,0.708933345,0.290697674
CP3,2008,0.112754539,0.016369593,0.418265564,0.401895971,0.225806452
DEM,2008,0.088660557,0.005717374,0.600598363,0.594880989,0.102514507
DLW,2008,0.152004616,0.01889157,0.537829297,0.518937727,0.185185185
EC,2008,0.431619277,0.109900956,0.807907104,0.698006149,0.582524272
FR,2008,0.032998869,0.002643977,0.292599094,0.289955117,0.04047619
GCN,2008,0.027510319,0.002241928,0.167010818,0.16476889,0.036363636
KYE,2008,0.494625177,0.167840232,0.811723295,0.643883062,0.658878505
LCE,2008,0.184056962,0.03200788,0.546581293,0.514573413,0.202479339
LCW,2008,0.049127082,0.005733988,0.333975614,0.328241626,0.036370271
LO,2008,0.319893413,0.038342482,0.847491848,0.809149366,0.299342105
MC,2008,0.127728021,0.012182496,0.618551604,0.606369109,0.090625
OKRE,2008,0.284766078,0.041707014,0.749020983,0.707313969,0.344827586
OKRW,2008,0.16452258,0.0335917,0.477609398,0.444017699,0.194444444
OSR,2008,0.380846443,0.054893707,0.866690829,0.811797122,0.487804878
S22,2008,0.141537732,0.016123923,0.612514383,0.59639046,0.147058824
SM,2008,0.260453208,0.022853244,0.823132414,0.80027917,0.413043478
URS,2008,0.073542045,0.007964557,0.370818358,0.362853801,0.085714286
BG,2009,0.026271704,0.00179158,0.283207843,0.281416262,0.037441498
BR,2009,0.14868804,0.021813791,0.564383735,0.542569944,0.126137053
CF,2009,0.196303276,0.045811785,0.556641823,0.510830037,0.197183099
CP3,2009,0.30462524,0.033392388,0.840411052,0.807018664,0.479166667
DEM,2009,0.164249653,0.022594366,0.602755043,0.580160677,0.219847328
DLW,2009,0.118934321,0.013614729,0.503164226,0.489549496,0.136986301
EC,2009,0.150104177,0.016474215,0.62838656,0.611912345,0.137797186
FR,2009,0.327288632,0.158714773,0.523588183,0.36487341,0.33908046
GCN,2009,0.144908589,0.014392663,0.603258011,0.588865348,0.184397163
KYE,2009,0.091335637,0.012069749,0.474052893,0.461983144,0.089101034
LCE,2009,0.128766489,0.01193906,0.609101602,0.597162542,0.38317757
LCW,2009,0.02535923,0.001964643,0.244636782,0.242672139,0.024855012
LO,2009,0.391514001,0.053056189,0.889441253,0.836385064,0.398217958
MC,2009,0.24838216,0.022742496,0.767006233,0.744263737,0.366666667
OKRE,2009,0.229756453,0.023015266,0.788641779,0.765626513,0.22556391
OKRW,2009,0.207941869,0.020663268,0.771587136,0.750923868,0.232704403
OSR,2009,0.566915385,0.164527573,0.853237065,0.688709492,0.610169492
S22,2009,0.287001512,0.025920394,0.79271518,0.766794786,0.353658537
SM,2009,0.238638302,0.022817295,0.817726941,0.794909646,0.311111111
URS,2009,0.046651107,0.004541272,0.277049742,0.27250847,0.094612825
BG,2010,0.401993143,0.04255739,0.89955216,0.856994771,0.443890274
BR,2010,0.538065032,0.122954986,0.89702482,0.774069834,0.791164659
CF,2010,0.296341577,0.048501004,0.770537424,0.722036421,0.310745402
CP3,2010,0.292851597,0.04267087,0.710792964,0.668122094,0.343283582
DEM,2010,0.125328829,0.0121431,0.632729709,0.62058661,0.146243066
DLW,2010,0.515442347,0.18285091,0.837200042,0.654349132,0.666666667
EC,2010,0.287862442,0.044769779,0.76329686,0.718527081,0.344362745
FR,2010,0.274765918,0.03722608,0.796184461,0.758958382,0.197984588
GCN,2010,0.215793137,0.017685779,0.794103434,0.776417656,0.512711864
KYE,2010,0.435388665,0.056624877,0.908096363,0.851471486,0.839228296
LCE,2010,0.066090166,0.005616576,0.392718475,0.387101899,0.076923077
LCW,2010,0.272106416,0.031399648,0.804742807,0.773343159,0.345454545
LO,2010,0.090581208,0.01086536,0.436166558,0.425301199,0.109452736
MC,2010,0.348849642,0.040118916,0.854716219,0.814597303,0.47566064
OKRE,2010,0.332198114,0.036357929,0.879871283,0.843513354,0.416
OKRW,2010,0.302138815,0.033194338,0.835299654,0.802105316,0.444933921
OSR,2010,0.485580946,0.064893257,0.907822919,0.842929661,0.636363636
S22,2010,0.32749623,0.041310824,0.861362827,0.820052003,0.413043478
SM,2010,0.246268088,0.025487185,0.807080081,0.781592896,0.250861582
URS,2010,0.161611058,0.013506875,0.612648864,0.599141989,0.222222222
BG,2011,0.118452049,0.009069582,0.674219283,0.6651497,0.132408575
BR,2011,0.124215813,0.010456186,0.627407358,0.616951172,0.182959641
CF,2011,0.226710226,0.036654604,0.713665256,0.677010653,0.228693182
CP3,2011,0.188381132,0.020379744,0.675663886,0.655284141,0.701268259
DEM,2011,0.117880883,0.008136378,0.675792228,0.66765585,0.224137931
DLW,2011,0.270198276,0.02389951,0.855478445,0.831578934,0.347368421
EC,2011,0.21239165,0.033247508,0.663604075,0.630356567,0.249598286
FR,2011,0.091839231,0.00804344,0.587031265,0.578987826,0.116389549
GCN,2011,0.09569851,0.00654158,0.608159979,0.601618399,0.136543536
KYE,2011,0.216435247,0.024622719,0.787111213,0.762488494,0.255991285
LCE,2011,0.117429701,0.006809462,0.649596537,0.642787075,0.055412838
LCW,2011,0.201553085,0.016971223,0.706780296,0.689809073,0.849223069
LO,2011,0.169680997,0.01142458,0.81628576,0.804861179,0.225690952
MC,2011,0.173314874,0.038020035,0.521954446,0.48393441,0.181700195
OKRE,2011,0.329576726,0.098800232,0.719766688,0.620966456,0.424242424
OKRW,2011,0.250764924,0.029277325,0.712913579,0.683636254,0.997908532
OSR,2011,0.292295588,0.036407474,0.817773293,0.781365819,0.383534137
S22,2011,0.375841174,0.045920459,0.893484081,0.847563622,0.394736842
SM,2011,0.368730976,0.035921974,0.891394149,0.855472175,0.669565217
URS,2011,0.317099108,0.02379025,0.853085181,0.829294931,0.457142857
BG,2012,0.085411477,0.006237966,0.442116229,0.435878262,0.130952381
BR,2012,0.037758923,0.004169997,0.208041281,0.203871284,0.049099836
CF,2012,0.142986233,0.03062596,0.408852061,0.378226102,0.148717949
CP3,2012,0.157570636,0.009721028,0.737139701,0.727418673,0.214669004
DEM,2012,0.064188466,0.005591158,0.427461586,0.421870428,0.088757396
DLW,2012,0.19221558,0.025651539,0.572503665,0.546852126,0.222222222
EC,2012,0.013937827,0.001241817,0.112310217,0.111068401,0.0249501
FR,2012,0.031426769,0.002749199,0.174539195,0.171789997,0.037037037
GCN,2012,0.097837532,0.016266582,0.327570036,0.311303454,0.108280255
KYE,2012,0.01093228,0.001389965,0.045249186,0.043859221,0.00872093
LCE,2012,0.092453356,0.005593399,0.571359315,0.565765916,0.845153427
LCW,2012,0.088417838,0.004003285,0.654359453,0.650356168,0.005742685
LO,2012,0.295182768,0.02348591,0.885402864,0.861916954,0.411358027
MC,2012,0.011084162,0.000860996,0.080318488,0.079457492,0.011594203
OKRE,2012,0.105150412,0.010628187,0.545366312,0.534738126,0.240112009
OKRW,2012,0.030149876,0.001782502,0.220921692,0.21913919,0.056429432
OSR,2012,0.130331703,0.008624524,0.674153899,0.665529375,0.287878788
S22,2012,0.00688851,0.000757377,0.044304816,0.043547439,0.013100437
SM,2012,0.025625863,0.003795605,0.125178633,0.121383028,0.020618557
URS,2012,0.093547019,0.006319523,0.582126149,0.575806626,0.033104136
BG,2013,0.019499563,0.001795698,0.138581117,0.136785419,0.024054983
BR,2013,0.040605178,0.007547138,0.146245146,0.138698009,0.044506259
CF,2013,0.03208378,0.003853662,0.189255466,0.185401804,0.030023095
CP3,2013,0.087474684,0.008326425,0.446425092,0.438098667,0.08
DEM,2013,0.03692564,0.004257199,0.212370842,0.208113643,0.034285714
DLW,2013,0.020402324,0.002798951,0.115617205,0.112818254,0.015037594
EC,2013,0.034477752,0.004145865,0.175432346,0.171286481,0.106382979
FR,2013,0.007093956,0.000678367,0.046498832,0.045820465,0.21330502
GCN,2013,0.005558094,0.000604233,0.02972963,0.029125396,0.003095975
KYE,2013,0.016515172,0.001149814,0.143142616,0.141992802,0.032258065
LCE,2013,0.08461708,0.00596339,0.533316978,0.527353588,0.967190747
LCW,2013,0.019177351,0.001456523,0.156389184,0.154932661,0.0022232
LO,2013,0.109916953,0.015432564,0.418419667,0.402987103,0.117647059
MC,2013,0.003543982,0.000397737,0.02619393,0.025796193,0.015607964
OKRE,2013,0.088938978,0.007940306,0.420387201,0.412446895,0.1
OKRW,2013,0.022535028,0.001181209,0.169038522,0.167857313,0.043848421
OSR,2013,0.008637815,0.000797551,0.058226253,0.057428702,0.004255319
S22,2013,0.008888716,0.001095251,0.046385303,0.045290052,0.005376344
SM,2013,0.049321811,0.003643474,0.36108393,0.357440456,0.064102564
URS,2013,0.032791648,0.002279758,0.304959176,0.302679418,0.019766075
BG,2014,0.242355068,0.022155682,0.756630512,0.73447483,0.00248314
BR,2014,0.324138591,0.037859454,0.829710647,0.791851193,0.017234464
CF,2014,0.208931906,0.027180378,0.718489884,0.691309506,0.342857143
CP3,2014,0.130527469,0.010801058,0.678415047,0.667613989,0.118638532
DEM,2014,0.216540727,0.026043065,0.704056084,0.678013019,0.200004393
DLW,2014,0.086914559,0.003608502,0.651507783,0.64789928,0.015692686
EC,2014,0.132595972,0.00678039,0.719691232,0.712910842,0.044042594
FR,2014,0.038536804,0.00210896,0.348982877,0.346873917,0.122093764
GCN,2014,0.040391573,0.002149012,0.4843545,0.482205488,0.01909679
KYE,2014,0.091128482,0.00342386,0.767369189,0.763945329,0.041379672
LCE,2014,0.1068325,0.004522649,0.604479604,0.599956955,0.288759252
LCW,2014,0.08604271,0.004136543,0.741758401,0.737621858,0.000393257
LO,2014,0.191186823,0.01785617,0.6512446,0.63338843,0.280732789
MC,2014,0.092103001,0.005837444,0.615445406,0.609607962,0.032694145
OKRE,2014,0.203763146,0.02742555,0.723757457,0.696331906,0.009986162
OKRW,2014,0.074887288,0.003975384,0.668638123,0.664662739,0.034818197
OSR,2014,0.133701105,0.005626503,0.745933481,0.740306978,0.063977352
S22,2014,0.094765569,0.004135117,0.739341881,0.735206764,0.110403388
SM,2014,0.147539837,0.005988691,0.800858827,0.794870136,0.070461845
URS,2014,0.048356979,0.002058389,0.473784507,0.471726118,0.016380461
BG,2015,0.002747835,0.00024661,0.019594749,0.019348139,0.001346539
BR,2015,0.008334326,0.000769707,0.053932823,0.053163117,0.007462687
CF,2015,0.076704803,0.00857389,0.34711718,0.338543291,0.0625
CP3,2015,0.065454983,0.004833881,0.353242574,0.348408692,0.195295467
DEM,2015,0.073771284,0.007679949,0.340152058,0.332472108,0.058823529
DLW,2015,0.033999247,0.001726142,0.22362608,0.221899938,0.015318081
EC,2015,0.122006192,0.019042604,0.360463243,0.341420639,0.142857143
FR,2015,0.016623649,0.001509776,0.120499284,0.118989507,0.011111111
GCN,2015,0.022001739,0.001896457,0.171145557,0.1692491,0.027522936
KYE,2015,0.080639787,0.013258899,0.244026169,0.23076727,0.10326087
LCE,2015,0.104175974,0.008861585,0.399079718,0.390218132,0.444989026
LCW,2015,0.096131236,0.004525657,0.638614924,0.634089268,0.001207806
LO,2015,0.041132073,0.003538801,0.278718593,0.275179792,0
MC,2015,0.010300797,0.00052792,0.07263827,0.07211035,0.021667662
OKRE,2015,0.094545026,0.007985387,0.406199833,0.398214446,0.014358502
OKRW,2015,0.047278986,0.002942543,0.388867037,0.385924494,0.150533378
OSR,2015,0.01200429,0.001107602,0.103151863,0.10204426,0.018391251
S22,2015,0.044642153,0.004215201,0.286145966,0.281930765,0.046875
SM,2015,0.11656885,0.020595562,0.404903954,0.384308392,0.126760563
URS,2015,0.057809235,0.004054185,0.461658013,0.457603828,0.022509972